
index,video index,product,product name,video title,video link,time stamp,aspect,complaint label,transcript
176,136,Phone,iPhone XS & XS Max ,iPhone XS & XS Max Review with Pros & Cons after a Month of Usage,https://www.youtube.com/watch?v=h0gcnH9KpC8,8:06-8:48,os,0.0, Now let's move to the console again I have a huge list let's go over them and the first  thing I still don't like on both of these iPhones is the autobrightness sensor.  I never liked the autobrightness sensor on earlier generations of the iPhone and that's  the same case even with these one and most of the time I have to actually go over here  and manually adjust the brightness.  I don't know the bright auto brightness sensor is simply not that sensitive on these phones  and in fact it's the same case even with the iPhone XR so I don't know why but yeah it's  the same case.  The autobrightness sensor is technically but again I don't feel it does a very good job  and many times I have to manually adjust the brightness especially at night when I'm reading
7,99,Phone,iQOO 11,iQOO 11 Review with Pros & Cons | Specs on Paper,https://www.youtube.com/watch?v=2hUHgf8Hoy0,10:31-15:49,camera,0.0," to this one regarding the camera samples as you've saw most outdoor shots it does  create but when it comes to dynamic range I feel the dynamic range is also very very poor  on this smartphone in fact this is my daughter's S20 FE and notice how well it did in shadowed  areas compared to this smartphone so I feel in terms of camera also they are holding back  because generally again I go is nothing but a vivo subsidiary Vivo does very good in camera  so I was having far more what do you say expectations considering the ISP that is there on the  Snapdragon 8 Gen 2 is among the best so frankly in terms of camera I would say again the camera  performance is okay but again in challenging situations it just falls apart also coming  to the ultra wide I don't get it on a flagship 8 megapixel yes the good thing is that in  outdoor shots at least there is no major color difference comparing it from the primary  50 megapixel camera but when the lighting is a little bit low and challenging situation  it just falls apart another thing is regarding the front facing camera those are 16 megapixel  for some reason again Ico has limited the video recording to just 1080p they don't get  4K again the processor has enough power so that you can even shoot 4K but I don't know  why they have restricted it so some of these decisions what Ico has done are like perplexing  now coming to another thing that I do not like with this smartphone is that this smartphone  the base unit is also priced at about 60,000 with card discount you can get it for 55 but  even at this price point there is no IP production I'm not expecting IP 68 or something but some  sort of IP production should have been there considering the price fund but that is also  not there on this smartphone next thing is that again this is a plaguing almost every  Android smartphone so I won't be specific to this but again the half-tech motor feedback  is again very very average I would say again you notice that start ring and lack that's  what I was talking within the UI you see that so half-tech feedback is there don't get  me wrong but again it's not done and that well in my friend copy next thing is again considering  the price point it does have all these apps are actually bloatware guys and it also has  this hot games and all this I didn't enable I greeted it will show that so there is quite  a bit of bloatware that is present on this smartphone again that's not a good thing again  considering the price point I expect yes Ico smartphones in the midrange or the premium  midrange having bloatware but this is a smartphone that is costing 60,000 and you have bloatware  and many of the bloatware for example their custom app or something keeps sending a notifications  over here to install this app or that up yes you can disable it but at this price point  you're touting this as the fastest flagship smartphone or whatever having bloatware is not  a good idea in my frank opinion coming down to the pricing of this smartphone because this  was one of the first smartphone with the Snapdragon 8.2 chipset I don't know how the other  smartphones will be priced for example we know that the OnePlus 11 will be coming out  in February with the Snapdragon 8.2 so we know what is the app pricing so I just don't  want to comment too much but again Icoop as a brand Icoop cut itself because of the  aggressive price points but now at this this smartphone for the price point of even  with a discount if you talk 55,000 I feel it's priced a little bit higher because of the  compromises that I've mentioned and also it has bloatware so certainly Icoop needs to  relook at their smartphones that they're launching in India and just do launch one smartphone  after the other if you're launching your smartphone spend a little bit time and optimize  the software that is present on the smartphone it doesn't matter you might be having the fastest  processor available but let's say you're not able to take the advantage of the processor  or use just about 40% of the performance of that what's the use in my frank opinion so  I feel Ico as a brand really needs to rethink about the positioning of this smartphone the  pricing the features what they're offering and also they have to start optimizing their smartphone  they just can't play on this specs and keep selling their smartphone that's my frank opinion  so I hope Icoop improves that with the future what he said launches and go slow down slow  down a little bit pay attention optimize the software for example see what nothing did nothing  with their smartphone with updates they improved it so much but if this phone which is a Snapdragon  778 feels a little bit more fluid and operations compared to this smartphone then I don't know  what is wrong with the industry I know the Ico team might not like what I posted with my  review but these are the facts and I thought somebody in the industry has to tell the  fact so that the brand wakes up and takes that into attention and I feel other YouTubers  just doing the unboxing and just praising stuff start testing the phone and start using  the phone and then only share their experience anyways guys that's it for now for this review  thanks for watching this is Ranji and I hope to see you in my next video take care guys"
141,129,Phone,Samsung Galaxy S9+ ,Samsung Galaxy S9+ Review with It's Pros & Cons - Ideal Flagship?,https://www.youtube.com/watch?v=niiQMbtR8y4,5:47-6:10,os,1.0, Do remember guys the S9 regular has just 4GB of RAM.  And now it is just about 2 weeks since I have been using this device.  And in general usage the phone has been working fine and as of now I have not noticed any  lag and most of the time it is very fluid as you can see I do not even close the apps  that are in the memory and stuff.  General performance is good.
74,114,Phone,OPPO Reno6 Pro,"OPPO Reno6 Pro Review with Pros & Cons After 2+ Weeks of Usage
",https://www.youtube.com/watch?v=zPpl2JjLvzg,1:30-1:49,design,1.0," But let's talk about the pros now.  And the first thing that I liked about this smartphone is the design, I would say.  And it feels actually sleek in the hand.  The in-hand feel is good.  It's neither too heavy nor light.  It weighs 177 grams.  So I feel they have done a good job in terms of build."
32,105,Phone,Nothing Phone (1),"Nothing Phone (1) Unboxing Initial Impression & Overview
",https://www.youtube.com/watch?v=AqjGp0gFfEQ,5:16-5:24,speaker,1.0, this one and I like the fact that the call quality was very good at least with A-TEL both  on cellular and Wi-Fi calling no issues.
290,162,Phone,Samsung Galaxy Note 10 Lite ,Samsung Galaxy Note 10 Lite Review with Pros & Cons,https://www.youtube.com/watch?v=JWEAzvUTjEY,9:30-9:56,os,0.0," But one thing that I noticed is that after the latest update, this indisplay fingerprint  scanner has become slightly slower I would say and sometimes 10% of the time I have to do  it twice.  This was not the issue prior to the software update now, it's working perfectly fine as  you can see.  But I feel it has slowed down a little bit.  Hopefully, Samsung does fix this with the next OTA update."
341,174,Phone,Moto G5 Plus,Moto G5 Plus In-depth Review with Pros & Cons Camera Smartphone?,https://www.youtube.com/watch?v=48Yq1mXZ2ww,14:29-14:54,speaker,0.0, implementation is sort of buggy.  Now moving to the speaker.  This one has just a single speaker and that speaker is on the earpiece.  I would say it gets the job done but most of the time when I was using this phone I was  keeping the volume level at max and I always felt that it should have one or two levels  more of loudness.  So that is one thing that I did not like and I frankly feel Motorola should have implemented
165,134,Phone,Honor pLAY ,Honor Play Review with Pros & Cons - The Affordable Flagship,https://www.youtube.com/watch?v=DtQ6fzNOGNg,2:33-2:43,os,1.0, Hence the performance of this device is actually really good no issues regarding the performance  and again I didn't find any issues of lagging or anything with this device.
61,111,Phone,Moto G60,Moto G60 Review with Pros & Cons - Good Mid-Ranger?,https://www.youtube.com/watch?v=PfN8dwcmuSs,1:49-2:05,os,1.0," I feel it can be further optimized.  Moving to the processor, this is having the Snapdragon 732 SOC.  And even the G40 is the same guys.  I'll leave the specs list here so that you can get a better idea.  And I would say it hinders this smartphone very well."
243,151,Phone,Redmi K20 Pro ,Redmi K20 Pro Review with Pros & Cons with Real World Usage,https://www.youtube.com/watch?v=YsU_SJP1870,8:37-8:53,speaker,0.0," now the ASUS 6Z and the OnePlus 7 are coming with the stereo speaker but we simply do not  have any stereo speaker set up on this one, so that is also one thing that is sort of  missing, and this might be a personal thing, I simply do not like the colour combination"
